month,year,month_number,start_date,end_date,bank_name,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn
November,2018,11,01-11-2018,30-11-2018,STATE BANK OF INDIA,25804,32749,574359,0,7306243,134426,22856602,519.326829,89811.32525,323092753,402154648,108956285,1068189.111,166493.8437
November,2018,11,01-11-2018,30-11-2018,AXIS BANK LTD,2101,10590,494230,0,5245839,90217,13976361,394.42867,51314.64051,26978062,28562200,26029727,144057.8707,40201.63406
November,2018,11,01-11-2018,30-11-2018,HDFC BANK LTD,5918,7126,444512,0,12057532,179844,40173574,1031.412556,148642.9085,26653087,36671900,45845008,190961.0005,70284.088
November,2018,11,01-11-2018,30-11-2018,ICICI BANK LTD,5296,9413,360953,0,5821171,46365,19651886,167.296194,55807.21448,44964741,33945757,37600900,172642.9158,57281.54446
December,2018,12,01-12-2018,31-12-2018,BANK OF BARODA,6410,3251,68490,0,187809,8640,511803,33.429271,1134.266583,58459198,21698668,12432217,91159.14741,14821.25942
December,2018,12,01-12-2018,31-12-2018,STATE BANK OF INDIA,25625,32725,577288,0,7525239,149456,24963924,570.602267,92899.14173,311046955,457980402,108354686,1066365.182,153355.0185
December,2018,12,01-12-2018,31-12-2018,AXIS BANK LTD,2092,10613,507919,0,5449056,100194,14898728,427.620868,57061.38911,26165335,29179869,27426176,144539.853,40191.29334
December,2018,12,01-12-2018,31-12-2018,HDFC BANK LTD,5964,7196,446679,0,12234425,193251,43232633,1082.36879,153882.2263,26581644,38111706,48636829,190900.8662,72974.08559
December,2018,12,01-12-2018,31-12-2018,ICICI BANK LTD,5286,9658,370040,0,6040131,51175,21690534,179.082834,59496.1946,45397548,35145103,40446783,175553.0751,59906.26255
January,2019,1,01-01-2019,31-01-2019,BANK OF BARODA,6436,3249,66329,0,202667,9092,543401,34.451755,1205.259072,59257938,21373138,11975069,90696.79203,14611.72087
January,2019,1,01-01-2019,31-01-2019,STATE BANK OF INDIA,25654,32816,577986,0,7742996,149002,25599252,562.5805259,100833.7074,305814823,447453519,108314800,1026932.925,149564.335
January,2019,1,01-01-2019,31-01-2019,AXIS BANK LTD,2070,10500,514190,0,5559196,99268,15276604,416.294264,55135.31814,25599955,28664882,26883452,143003.298,38792.06466
January,2019,1,01-01-2019,31-01-2019,HDFC BANK LTD,5982,7089,462418,0,12360786,183928,43027816,1022.324502,153369.3084,26278071,36736004,46661439,185292.6053,68081.33974
January,2019,1,01-01-2019,31-01-2019,ICICI BANK LTD,5292,9776,377301,0,6256007,49900,21993487,171.303043,60400.77479,45143606,34186107,39264708,171956.4862,55393.34002
February,2019,2,01-02-2019,28-02-2019,BANK OF BARODA,6430,3247,51960,0,216885,8515,526791,32.4381,1156.378356,59918420,19719888,10904078,84197.03604,12860.36737
February,2019,2,01-02-2019,28-02-2019,STATE BANK OF INDIA,25560,32816,579508,0,7998808,135768,22340028,522.003167,85603.31944,326078311,401232064,98839407,998075.516,133178.9564
February,2019,2,01-02-2019,28-02-2019,AXIS BANK LTD,2033,10257,506161,0,5713303,89773,13573383,387.382857,47298.78868,23862171,26967163,25041308,135411.4741,36671.1598
February,2019,2,01-02-2019,28-02-2019,HDFC BANK LTD,5989,7043,471641,0,12489925,173007,38045263,999.704778,134686.4611,26658610,34783795,42658714,178057.862,58880.57902
February,2019,2,01-02-2019,28-02-2019,ICICI BANK LTD,5250,9711,384901,0,6428389,45973,19811181,160.270734,54170.41722,45283613,32065512,36192841,163380.8805,50315.25017
March,2019,3,01-03-2019,31-03-2019,BANK OF BARODA,6329,3243,63250,0,231277,9723,652002,39.13173095,1391.325761,60757947,21380280,12629611,90562.79596,14164.85974
March,2019,3,01-03-2019,31-03-2019,STATE BANK OF INDIA,25555,32860,575358,0,8271446,154499,26511681,595.231684,94264.16353,316263253,417169584,117614529,1090231.999,152455.4322
March,2019,3,01-03-2019,31-03-2019,AXIS BANK LTD,2006,9795,507409,0,5959857,102326,15508823,442.153765,62124.72147,24510625,30384309,28928098,152110.1142,41014.86574
March,2019,3,01-03-2019,31-03-2019,HDFC BANK LTD,6036,7124,490180,0,12486918,190903,43869321,1104.071645,161072.8366,26997235,39437806,49727712,201946.8407,70639.15297
March,2019,3,01-03-2019,31-03-2019,ICICI BANK LTD,5237,9750,391625,0,6645716,52688,22836023,185.519849,62152.5686,44787752,35862767,41971028,183292.0452,59136.92547
April,2019,4,01-04-2019,30-04-2019,BANK OF BARODA,9126,3980,79813,0,305936,19455,789597,85.370015,1722.897255,72760353,30539459,16472373,119082.9278,20235.21033
April,2019,4,01-04-2019,30-04-2019,STATE BANK OF INDIA,25583,32885,580765,0,8545759,154499,26511681,595.231684,94792.48247,297073038,382742667,118453038,1100651.296,164191.4826
April,2019,4,01-04-2019,30-04-2019,AXIS BANK LTD,5261,11571,504004,0,6076537,106673,16552071,455.035372,60699.96327,24513438,28563247,28348998,144103.5874,41149.60093
April,2019,4,01-04-2019,30-04-2019,HDFC BANK LTD,6069,7193,531547,0,12574139,180818,44680208,1035.074507,161032.8446,27425468,37099927,48489873,191832.4559,71518.77336
April,2019,4,01-04-2019,30-04-2019,ICICI BANK LTD,5216,9800,353347,0,6826140,51413,23600721,180.602374,65059.62475,44769955,33797897,40926673,174744.9273,58265.67387
May,2019,5,01-05-2019,31-05-2019,BANK OF BARODA,9321,3850,78791,0,324275,21107,838895,92.75806377,1883.97207,73384771,32035602,16675739,125633.462,14651.52898
May,2019,5,01-05-2019,31-05-2019,STATE BANK OF INDIA,25606,32883,589127,0,8734604,160944,28644056,610.928567,105373.1453,297165746,376403513,117026441,1130261.407,176121.1988
May,2019,5,01-05-2019,31-05-2019,AXIS BANK LTD,5257,11631,496598,0,6170677,102603,16677302,442.642055,64455.15308,24185091,29505062,28524901,147832.5226,43053.13785
May,2019,5,01-05-2019,31-05-2019,HDFC BANK LTD,6081,7239,563264,0,12679846,185365,45870315,1087.520462,172032.7329,27924345,38952187,50527755,202573.6261,77378.67755
May,2019,5,01-05-2019,31-05-2019,ICICI BANK LTD,5214,9849,359529,0,7013846,51851,24462656,186.42968,67520.54551,44806067,34951713,41611367,180612.002,61794.68902
June,2019,6,01-06-2019,30-06-2019,BANK OF BARODA,9315,3843,77947,0,338422,20011,868300,86.5905,1890.504022,74200684,30569165,17325235,117955.82,22226.57488
June,2019,6,01-06-2019,30-06-2019,STATE BANK OF INDIA,25725,32770,597848,0,8821597,136230,27989776,532.567804,101575.7185,302737489,371824160,116467790,1089019.465,170663.4557
June,2019,6,01-06-2019,30-06-2019,AXIS BANK LTD,5235,11781,498932,0,6247776,93074,15915513,407.498269,61213.10842,22985949,28143987,28250210,138894.9615,43126.85435
June,2019,6,01-06-2019,30-06-2019,HDFC BANK LTD,6083,7312,618257,0,12791247,174254,44627028,1038.71061,162385.1352,28358262,38105538,50782996,195912.5592,74933.05277
June,2019,6,01-06-2019,30-06-2019,ICICI BANK LTD,5219,9882,415463,0,7211154,50336,24069058,181.974289,64729.87157,44868884,33761075,41436398,171522.8173,61768.58793
July,2019,7,01-07-2019,31-07-2019,BANK OF BARODA,9388,3846,66494,0,353114,20238,886837,864.8662558,18930.89686,75194532,32145143,18132895,1212531.81,226563.038
July,2019,7,01-07-2019,31-07-2019,STATE BANK OF INDIA,25793,32841,608542,0,9096320,139672,30868693,5391.58512,1120285.386,297610598,379148480,120758113,10778635.83,1719644.323
July,2019,7,01-07-2019,31-07-2019,AXIS BANK LTD,5262,11910,497917,0,6365636,101812,17773898,4370.46142,631102.0671,22754410,27801324,28505609,1348949.144,421479.1222
July,2019,7,01-07-2019,31-07-2019,HDFC BANK LTD,6075,7325,656103,0,12976251,183937,48011222,10832.84767,1674048.724,28943050,37984244,51944501,1913117.198,772081.428
July,2019,7,01-07-2019,31-07-2019,ICICI BANK LTD,5200,9881,421639,0,7480120,51910,26568869,1843.36955,686522.1758,44903820,33098252,42056582,1648220.578,623647.3974
August,2019,8,01-08-2019,31-08-2019,BANK OF BARODA,9400,3831,65815,0,371033,20747,942303,863.8862766,19598.76943,76285240,32300901,19509658,1322241.656,261546.1613
August,2019,8,01-08-2019,31-08-2019,STATE BANK OF INDIA,25667,32995,612471,0,9316553,137825,30731537,5326.42035,1090469.638,299386547,376227248,119943764,10763033.54,1647902.866
August,2019,8,01-08-2019,31-08-2019,AXIS BANK LTD,5292,12019,498354,0,6614298,96010,17452053,4131.15135,639859.1368,22800710,28173088,28735959,1386518.635,420330.2931
August,2019,8,01-08-2019,31-08-2019,HDFC BANK LTD,6079,7350,674604,0,13138330,190106,47923500,11369.68421,1685383.53,29452180,39464154,53448447,2006358.948,787792.925
August,2019,8,01-08-2019,31-08-2019,ICICI BANK LTD,5197,9873,429851,0,7691843,48729,25777810,1763.26575,687252.2173,45083640,34114316,42546161,1715138.537,645093.414
